1,Building Summary Small Hotel pre-1980 construction,,,,,
UWG,,,Value,Value,Value,
areaFloor,,Total Floor Area (m2),"4,014","4,014","4,014",
nFloor,,Number of Floors,4,4,4,
glazing,,Total,0.11,0.11,0.11,
hCeiling,,Floor to Floor Height (m),2.9,2.9,2.9,(average of four floors)
areaWall,,Gross Dimensions - Total Area (m2),"1,695","1,695","1,695",
ver2hor,,Wall to Skin Ratio,0.60,0.60,0.63,
areaRoof,,Gross Dimensions - Total Area (m2),"1,003","1,003","1,003",
areaWindow,,Total Area (m2),184.2,184.2,184.2,
