3.00,,Location Summary,,,,,,,,,,,,,,,,,
BUILDING,UWG,,,Miami,Houston,Phoenix,Atlanta,Los Angeles,Las Vegas,San Francisco,Baltimore,Albuquerque,Seattle,Chicago,Boulder,Minneapolis,Helena,Duluth,Fairbanks
BLD4PRE,Zone,,ASHRAE 90.1-2004 Climate Zone,1A,2A,2B,3A,3B-CA,3B,3C,4A,4B,4C,5A,5B,6A,6B,7,8
BLD4PRE,TypeWall,,Construction Type,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall
BLD4PRE,RvalWall,,R-value (m2·K / W),0.77,0.77,0.77,0.78,0.77,0.77,0.79,0.99,0.96,1.01,1.13,1.09,1.22,1.22,1.30,1.41
BLD4PRE,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BLD4PRE,RvalRoof,,R-value (m2·K / W),1.76,1.76,1.76,1.76,1.76,1.76,1.76,2.04,1.98,2.07,2.50,2.37,2.99,2.99,2.93,2.99
BLD4PRE,Uwindow,,U-Factor (W / m2·K),5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,3.53,3.53,3.53,3.53,3.53,3.53
BLD4PRE,SHGC,,SHGC,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.41,0.41,0.41,0.41,0.41,0.41
BLD4PRE,HVAC,,Air Conditioning (kW),"3,891.37","3,811.32","3,744.94","3,752.94","3,227.93","3,390.24","2,895.39","3,750.81","2,890.39","3,088.86","3,338.58","2,506.04","3,306.57","2,467.42","2,864.45","2,547.00"
BLD4PRE,HEAT,,HEATSYS1 BOILER,"3,200.15","3,579.19","3,484.44","3,731.14","3,160.43","3,550.43","3,283.87","3,929.98","3,430.44","3,668.99","3,902.74","3,388.22","4,089.50","3,805.68","4,065.45","4,775.99"
BLD4PRE,COP,,COOLSYS1 CHILLER 2,5.110,5.110,5.110,5.110,5.110,5.110,5.110,5.110,5.110,5.110,5.110,5.110,5.110,5.110,5.110,5.110
BLD4PRE,EffHeat,,Heating Efficiency (%),0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76
BLD4PRE,Fan,,Fan Max Flow Rate (m3/s ),250.97,256.30,277.51,265.88,247.51,282.05,246.58,260.65,287.92,261.26,231.87,251.31,234.26,245.89,229.77,232.89
BLD4PST,TypeWall,,Construction Type,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall
BLD4PST,RvalWall,,R-value (m2·K / W),0.42,0.52,0.43,0.61,0.42,0.61,0.42,1.47,0.93,1.76,1.76,1.26,2.48,2.23,2.89,3.75
BLD4PST,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BLD4PST,RvalRoof,,R-value (m2·K / W),2.38,2.67,3.83,2.44,1.76,3.66,2.00,3.03,2.99,2.75,3.38,3.51,3.97,3.65,4.41,5.75
BLD4PST,Uwindow,,U-Factor (W / m2·K),5.84,5.84,5.84,4.09,5.84,5.84,4.09,3.35,4.09,4.09,3.35,3.35,2.96,2.96,2.96,2.96
BLD4PST,SHGC,,SHGC,0.25,0.25,0.25,0.26,0.44,0.25,0.39,0.36,0.36,0.39,0.39,0.39,0.39,0.39,0.49,0.62
BLD4PST,HVAC,,Air Conditioning (kW),"3,525.67","3,377.61","3,348.48","3,275.79","3,066.22","2,945.28","2,595.54","3,262.48","2,568.46","2,745.95","3,288.07","2,476.55","3,252.08","2,447.53","3,026.05","2,980.47"
BLD4PST,HEAT,,HEATSYS1 BOILER,"2,875.97","3,213.45","3,128.97","3,296.80","3,009.02","3,152.34","3,006.64","3,499.26","3,132.43","3,359.32","3,858.61","3,375.45","4,040.44","3,796.31","4,208.40","5,129.50"
BLD4PST,COP,,COOLSYS1 CHILLER 2,5.200,5.200,5.200,5.200,5.200,5.200,5.200,5.200,5.200,5.200,5.200,5.200,5.200,5.200,5.200,5.200
BLD4PST,EffHeat,,Heating Efficiency (%),0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
BLD4PST,Fan,,Fan Max Flow Rate (m3/s ),220.71,222.02,242.94,223.79,233.33,241.82,220.68,220.22,254.09,231.94,227.66,249.78,229.59,244.99,244.06,271.20
BLD4NEW,TypeWall,,Construction Type,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall
BLD4NEW,RvalWall,,R-value (m2·K / W),0.42,0.42,0.42,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.43,1.43,1.69,1.69,1.96,2.20
BLD4NEW,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BLD4NEW,RvalRoof,,R-value (m2·K / W),2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.85,2.85,2.85,2.85,2.79,3.72
BLD4NEW,Uwindow,,U-Factor (W / m2·K),5.84,5.84,5.84,3.24,3.24,3.24,5.84,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,2.62
BLD4NEW,SHGC,,SHGC,0.25,0.25,0.25,0.25,0.25,0.25,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.49,0.30
BLD4NEW,HVAC,,Air Conditioning (kW),"3,193.35","3,063.83","3,034.32","2,870.81","2,410.70","2,501.67","2,371.73","2,973.15","2,264.05","2,402.74","2,956.11","2,202.11","2,926.65","2,169.36","2,718.81","2,086.05"
BLD4NEW,HEAT,,HEATSYS1 BOILER,"2,593.18","2,956.48","2,853.45","2,950.07","2,425.23","2,743.59","2,801.39","3,257.61","2,860.09","3,041.71","3,578.39","3,124.10","3,761.71","3,530.42","3,934.50","4,293.58"
BLD4NEW,COP,,COOLSYS1 CHILLER 2,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500,5.500
BLD4NEW,EffHeat,,Heating Efficiency (%),0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
BLD4NEW,Fan,,Fan Max Flow Rate (m3/s ),195.47,197.95,216.17,190.2,178.59,200.5,201.5,197.57,223.2,201.86,200.94,221.32,202.95,216.73,217.52,192.34
