1,Building Summary Secondary School pre-1980 construction,,,,
UWG,,,Value,Value,Value
areaFloor,,Total Floor Area (m2),"19,592","19,592","19,592"
nFloor,,Number of Floors,2,2,2
glazing,,Total,0.34,0.34,0.34
hCeiling,,Floor to Ceiling Height (m),4,4,4
areaWall,,Gross Dimensions - Total Area (m2),"6,384.00","6,384.00","6,384.00"
ver2hor,,Wall to Skin Ratio,0.35,0.35,0.35
areaRoof,,Gross Dimensions - Total Area (m2),"11,902.00","11,902.00","11,902.00"
areaWindow,,Total Area (m2),"2,089.2","2,089.2","2,089.2"
